Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,38.150002,38.700001,37.299999,37.700001,28.220322,7453455
2015-01-05,38.150002,38.150002,37.099998,37.250000,27.883472,8774386
2015-01-06,36.750000,36.900002,35.599998,35.950001,26.910358,17516607
2015-01-07,35.599998,37.500000,34.500000,37.049999,27.733761,27340773
2015-01-08,37.799999,38.450001,36.349998,37.150002,27.808619,11875686
2015-01-09,37.849998,37.900002,36.750000,36.799999,27.546623,10601765
2015-01-12,37.200001,37.200001,36.000000,36.549999,27.359488,12828380
2015-01-13,36.799999,37.700001,36.650002,37.400002,27.995754,13840910
2015-01-14,37.950001,38.000000,37.400002,37.549999,28.108034,10088595
2015-01-15,38.200001,38.200001,37.549999,38.099998,28.519739,8671260
2015-01-16,38.000000,38.450001,36.799999,36.950001,27.658909,21924219
2015-01-19,36.549999,36.799999,35.200001,35.549999,26.610935,17898110
2015-01-20,35.250000,36.299999,35.099998,35.400002,26.498657,11359208
2015-01-21,36.000000,37.150002,35.599998,36.549999,27.359488,16004952
2015-01-22,37.549999,38.000000,36.700001,37.849998,28.332598,16340389
2015-01-23,38.200001,38.950001,37.250000,38.150002,28.557171,21677528
2015-01-26,40.000000,40.000000,38.599998,39.000000,29.193438,12414047
2015-01-27,39.950001,40.349998,39.500000,40.150002,30.054264,22139470
2015-01-28,40.549999,40.549999,39.400002,39.650002,29.679993,16495138
2015-01-29,39.650002,40.049999,39.099998,39.200001,29.343143,13590832
2015-01-30,39.799999,39.799999,37.799999,38.049999,28.482313,15054829
2015-02-02,37.900002,38.000000,37.000000,37.700001,28.220322,15570025
2015-02-03,38.349998,38.400002,37.799999,37.799999,28.295177,12240617
2015-02-04,38.150002,38.150002,37.150002,37.700001,28.220322,10824535
2015-02-05,38.049999,38.750000,37.049999,37.200001,27.846043,12718483
2015-02-06,37.200001,38.700001,36.849998,38.349998,28.706871,20151049
2015-02-09,38.000000,38.299999,37.500000,38.200001,28.594597,11110720
2015-02-10,37.150002,38.400002,37.049999,37.700001,28.971144,17032846
2015-02-11,38.000000,38.400002,37.599998,38.049999,29.240107,15283253
2015-02-12,38.500000,38.500000,37.099998,37.450001,28.779030,19959512
2015-02-13,37.900002,38.849998,37.750000,38.650002,29.701183,28801049
2015-02-16,38.799999,39.150002,38.200001,38.950001,29.931726,16020366
2015-02-17,39.099998,39.400002,39.049999,39.099998,30.046991,8098240
2015-02-18,39.500000,39.799999,39.500000,39.750000,30.546499,6933768
2015-02-23,39.849998,39.849998,38.599998,38.950001,29.931726,16281046
2015-02-24,39.200001,39.599998,37.400002,37.900002,29.124830,18152209
2015-02-25,36.549999,36.799999,35.049999,35.700001,27.434212,36268744
2015-02-26,35.099998,35.599998,34.549999,34.599998,26.588896,34249116
2015-02-27,34.950001,35.799999,34.950001,35.400002,27.203674,20312745
2015-03-02,35.349998,35.599998,34.849998,35.299999,27.126825,14396462
2015-03-03,36.049999,37.000000,35.750000,35.900002,27.587906,22818599
